Thermal conductivity of manganin below 1 K,I. Peroni-- E. Gottardi-- A. Peruzzi-- G. Ponti-- G. Ventura ,Nuclear Physics B 1999
T (K),k (W/m/K),k/T
1.22E-01,6.55E-03,5.37E-02
1.45E-01,7.51E-03,5.19E-02
1.76E-01,1.02E-02,5.81E-02
2.14E-01,1.26E-02,5.90E-02
2.50E-01,1.47E-02,5.87E-02
2.71E-01,1.64E-02,6.06E-02
2.93E-01,1.78E-02,6.06E-02
3.21E-01,1.94E-02,6.04E-02
3.57E-01,2.17E-02,6.08E-02
4.29E-01,2.72E-02,6.35E-02
4.77E-01,3.01E-02,6.30E-02
5.06E-01,3.23E-02,6.39E-02
5.43E-01,3.46E-02,6.37E-02
5.76E-01,3.75E-02,6.51E-02
6.08E-01,4.08E-02,6.72E-02
6.31E-01,4.27E-02,6.76E-02
6.70E-01,4.68E-02,6.98E-02
7.12E-01,5.04E-02,7.08E-02
7.64E-01,5.59E-02,7.31E-02
8.15E-01,6.01E-02,7.37E-02
8.44E-01,6.43E-02,7.62E-02
8.71E-01,6.99E-02,8.03E-02
8.99E-01,7.04E-02,7.83E-02
9.20E-01,7.72E-02,8.39E-02
9.64E-01,8.04E-02,8.33E-02
1.02E+00,8.93E-02,8.76E-02
